rank,title,score,comments,quote
222,恋恋笔记本,8.5,714330,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
223,新龙门客栈,8.7,475640,嬉笑怒骂，调风动月。
224,哈利·波特与死亡圣器(上),8.6,632835,最忠于原著的一部。
226,罗生门,8.8,337434,人生的N种可能性。
228,千钧一发,8.8,325328,一部能引人思考的科幻励志片。
229,彗星来的那一夜,8.6,636296,小成本大魅力。
231,黑客帝国2：重装上阵,8.7,431366,一个精彩的世界观正在缓缓建立。
232,萤火虫之墓,8.7,423121,幸福是生生不息，却难以触及的远。 
234,奇迹男孩,8.6,577441,世界不完美，爱会有奇迹。
236,二十二,8.7,304029,有一些东西不应该被遗忘。
237,战争之王,8.7,393652,做一颗让别人需要你的棋子。
238,步履不停,8.8,302350,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
239,血钻,8.7,403110,每个美丽事物背后都是滴血的现实。
240,千年女优,8.8,295801,爱情是一场没有尽头的虚幻追逐。
241,谍影重重2,8.7,376148,谁说王家卫镜头很晃？
242,房间,8.8,386010,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
243,魂断蓝桥,8.8,295688,中国式内在的美国电影。
246,弱点,8.7,335880,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
247,谍影重重,8.6,457724,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
249,朗读者,8.6,472699,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
250,阿飞正传,8.5,543040,王家卫是一种风格，张国荣是一个代表。
